gene	logFC	logCPM	PValue	FDR
Solyc00g008150	0	-1.66887626930952	1	1
Solyc00g008160	0	-1.66887626930952	1	1
Solyc00g008260	0	-1.66887626930952	1	1
Solyc00g008270	0	-1.66887626930952	1	1
Solyc00g008570	-1.8381066135438	-1.55503822971758	0.999999999999996	1
Solyc00g008580	0	-1.66887626930952	1	1
Solyc00g008680	0.441025889232154	7.14623052902888	0.0106845784542022	0.0403966636885226
Solyc00g008690	0	-1.66887626930952	1	1
Solyc00g008800	0	-1.66887626930952	1	1
Solyc00g008900	0	-1.66887626930952	1	1
Solyc00g008910	0	-1.66887626930952	1	1
Solyc00g008920	0	-1.66887626930952	1	1
Solyc00g009020	0.533432495121001	8.05417818731705	0.00151358635145554	0.00714064844817234
Solyc00g009030	0.84550681022582	-1.34749829106376	1	1
Solyc00g009040	-0.369797382056314	1.41023080991028	0.563848434797668	1
Solyc00g009050	-1.39636501191006	-0.931978039099315	0.354517519123717	0.750918073110068
Solyc00g009060	-0.620068621774963	5.05128518730528	0.00169421850334221	0.00790369773852297
Solyc00g009070	0	-1.66887626930952	1	1
Solyc00g009080	-0.147504396330894	3.85584730274384	0.54279731015888	1
Solyc00g009090	-3.15358107215252	-1.34687382039123	0.276422988818076	0.615837471872235
Solyc00g009100	1.81461187417701	5.12975301912717	1.55737431564138e-14	4.09099378663224e-13
Solyc00g009110	0.0665858689079374	4.18498568551892	0.815203927751886	1
Solyc00g009120	-0.274041073926736	2.86344520048783	0.405661499497686	0.834957734296831
Solyc00g009130	-0.383187511238213	2.79294528177725	0.236564523040863	0.551576218050225
Solyc00g009140	-0.730897059825262	4.86657604514001	0.00020950371638961	0.00120314793435786
Solyc00g009240	0	-1.66887626930952	1	1
Solyc00g009440	0	-1.66887626930952	1	1
Solyc00g009540	0	-1.66887626930952	1	1
Solyc00g009650	0	-1.66887626930952	1	1
Solyc00g009660	0	-1.66887626930952	1	1
Solyc00g009760	0	-1.66887626930952	1	1
Solyc00g009770	0	-1.66887626930952	1	1
Solyc00g009780	0	-1.66887626930952	1	1
Solyc00g009790	0	-1.66887626930952	1	1
Solyc00g009800	0	-1.66887626930952	1	1
Solyc00g010100	0	-1.66887626930952	1	1
Solyc00g010110	0	-1.66887626930952	1	1
Solyc00g010210	0	-1.66887626930952	1	1
Solyc00g010410	0	-1.66887626930952	1	1
Solyc00g010420	0	-1.66887626930952	1	1
Solyc00g010520	0	-1.66887626930952	1	1
Solyc00g010530	0	-1.66887626930952	1	1
Solyc00g010540	1.89228955127229	-1.5532780642627	0.999999999999997	1
Solyc00g010550	0	-1.66887626930952	1	1
Solyc00g010750	-0.245653974077079	0.878795573471384	0.67671680646098	1
Solyc00g010760	0	-1.66887626930952	1	1
Solyc00g010770	1.70340593841853	-1.16516239699589	0.398875420116932	0.825196396663928
Solyc00g010780	0	-1.66887626930952	1	1
Solyc00g010790	0	-1.66887626930952	1	1
Solyc00g010810	0	-1.66887626930952	1	1
Solyc00g010930	0	-1.66887626930952	1	1
Solyc00g011130	0	-1.66887626930952	1	1
Solyc00g011140	0	-1.66887626930952	1	1
Solyc00g011150	0	-1.66887626930952	1	1
Solyc00g011160	0	-1.66887626930952	1	1
Solyc00g011170	0	-1.66887626930952	1	1
Solyc00g011180	0	-1.66887626930952	1	1
Solyc00g011310	0	-1.66887626930952	1	1
Solyc00g011550	0	-1.66887626930952	1	1
Solyc00g011560	0	-1.66887626930952	1	1
Solyc00g011660	0	-1.66887626930952	1	1
Solyc00g011670	0	-1.66887626930952	1	1
Solyc00g011870	0	-1.66887626930952	1	1
Solyc00g011880	-0.997016726157046	1.06388146772016	0.0326889741077956	0.105677714004973
Solyc00g011890	-0.717040307495263	7.89089982034645	4.47814900295741e-05	0.000294866667473838
Solyc00g012090	0	-1.66887626930952	1	1
Solyc00g012310	0	-1.66887626930952	1	1
Solyc00g012430	0	-1.66887626930952	1	1
Solyc00g012440	0	-1.66887626930952	1	1
Solyc00g012540	0	-1.66887626930952	1	1
Solyc00g012640	0	-1.66887626930952	1	1
Solyc00g012650	0	-1.66887626930952	1	1
Solyc00g012660	0	-1.66887626930952	1	1
Solyc00g012670	0	-1.66887626930952	1	1
Solyc00g012680	0	-1.66887626930952	1	1
Solyc00g012690	0	-1.66887626930952	1	1
Solyc00g012700	0	-1.66887626930952	1	1
Solyc00g012800	0	-1.66887626930952	1	1
Solyc00g012900	0	-1.66887626930952	1	1
Solyc00g013000	0	-1.66887626930952	1	1
Solyc00g013100	0	-1.66887626930952	1	1
Solyc00g013110	0	-1.66887626930952	1	1
Solyc00g013120	0.319290678625685	1.65210192279321	0.433792708957229	0.87644399604129
Solyc00g013130	-0.552341862550506	3.1662930229481	0.0472758419550706	0.144902750536075
Solyc00g013140	0.38186337089399	1.62571215678284	0.572259657371317	1
Solyc00g013150	-1.86659152876268	-1.55281258034706	0.999999999999998	1
Solyc00g013160	-1.11080358579496	0.526236371604426	0.112605878415373	0.299905233509522
Solyc00g013170	0	-1.66887626930952	1	1
Solyc00g013180	-0.663407636877225	-0.445239800821077	0.509036257502045	0.978266997202283
Solyc00g013190	0.304657616093891	-0.73233203294081	0.999999999999998	1
Solyc00g013320	0	-1.66887626930952	1	1
Solyc00g013330	0	-1.66887626930952	1	1
Solyc00g013770	0	-1.66887626930952	1	1
Solyc00g014170	0	-1.66887626930952	1	1
Solyc00g014180	0	-1.66887626930952	1	1
Solyc00g014190	0	-1.66887626930952	1	1
Solyc00g014290	0	-1.66887626930952	1	1
Solyc00g014390	0	-1.66887626930952	1	1
Solyc00g014790	-1.71058233046577	0.33064067500234	0.00624661189495367	0.0252888904045081
Solyc00g014800	-1.25197245745366	-1.25282052164569	0.648757992943759	1
Solyc00g014810	0	-1.66887626930952	1	1
Solyc00g014820	-2.18250702470098	-1.00347890358168	0.166381932213755	0.413093970114182
Solyc00g014830	-0.342087404880549	3.3065072326905	0.290896202788487	0.642046042597927
Solyc00g014840	0.0312441690057837	-1.08015479628077	1	1
Solyc00g014850	-0.285827786895112	0.345129478192829	0.766898098640144	1
Solyc00g014860	-1.86659745062028	-1.55281258034706	1	1
Solyc00g014960	0	-1.66887626930952	1	1
Solyc00g014970	0	-1.66887626930952	1	1
Solyc00g014980	0	-1.66887626930952	1	1
Solyc00g014990	0	-1.66887626930952	1	1
Solyc00g015000	0	-1.66887626930952	1	1
Solyc00g015600	0	-1.66887626930952	1	1
Solyc00g015610	0	-1.66887626930952	1	1
