gene	logFC	logCPM	PValue	FDR
Solyc01g028800	3.34757420758987	-0.0415351585043741	0.000133778781070769	0.000802233764504334
Solyc01g028850	4.45032767335959	0.141809315631111	2.18647960903882e-06	1.83582875684456e-05
Solyc01g049770	-2.06019892843192	2.62054669286149	1.94788681074776e-06	1.65424699825652e-05
Solyc01g056730	-2.50464914219511	0.105390784129908	0.000783665622324487	0.00395845179148545
Solyc01g056750	-2.92615186037814	0.817144065348747	2.28301452815159e-06	1.91133668078882e-05
Solyc01g056760	-2.49140773451585	0.66431236090187	0.000473256780669909	0.00250989435282895
Solyc01g057270	3.07293553959945	0.657921150156885	1.49151350340125e-06	1.2897357926448e-05
Solyc01g057320	-4.77298124013925	-0.794396038579965	0.0036264871669081	0.0155669987447735
Solyc01g057730	-2.33935638120134	0.000487539328632386	0.00491812053907891	0.0204565303581978
Solyc01g058320	-2.46220624306056	0.0913184407517907	0.00202685064280597	0.00925406813998462
Solyc01g058520	-2.77347222086099	-0.33903505940827	0.00910559125868437	0.0351383339971477
Solyc01g058530	-4.61581628884075	-0.863917229014031	0.00774079330007012	0.0304640218644079
Solyc01g058720	2.8596474537826	3.52111965404765	6.65163715456113e-13	1.43117350350957e-11
Solyc01g060410	-5.39957720789343	-0.455359329642051	0.000288672011047806	0.00160670099485429
Solyc01g066080	4.67223920942653	-0.858991567430247	0.0067192978957671	0.0269105129773156
Solyc01g066100	3.15842857497453	-0.161361711070092	0.000658957269237514	0.00338715350633676
Solyc01g066150	3.26504893746169	0.281295585731674	4.35728592450885e-05	0.000287726693858945
Solyc01g066190	3.12375367306041	0.178828774421427	7.5345536310328e-05	0.000475645235311536
Solyc01g066240	5.55830005426365	-0.392563840199675	0.00486518860005792	0.0202509174774316
Solyc01g067290	-2.03244175248344	0.767565844895015	0.000294507855459141	0.00163539800731262
Solyc01g067460	-3.23309112986663	-0.558213688274062	0.00413336575859659	0.0175005355643482
Solyc01g067670	-2.75985760841588	3.47096493372311	4.14850143627788e-16	1.29322270536465e-14
Solyc01g067760	-3.04352840264707	-0.170717842426002	0.00137287342386853	0.00655157006880341
Solyc01g068130	3.95679693043703	4.90658819782773	4.25748887336141e-50	1.5728703840981e-47
Solyc01g068270	-2.00035220741124	4.04127724161034	5.07575048289577e-16	1.56541373907213e-14
Solyc01g068510	5.34082529138955	2.83166072757171	8.01673923623591e-31	8.81004124863179e-29
Solyc01g068520	5.49340507730304	0.943759483996983	1.81861773452569e-11	3.27059233904058e-10
Solyc01g073640	3.26803749062399	1.86388128160114	9.00020115010075e-13	1.89309500508509e-11
Solyc01g073670	2.63997895072389	0.364602968130624	0.0012071215084167	0.00584613162196017
Solyc01g073810	2.54738027036695	0.669935040816659	0.00236644095666753	0.0106174929072601
Solyc01g073890	2.77068412983279	4.31749067401608	9.99734659432654e-20	4.25463057820071e-18
Solyc01g073970	2.12802070990173	0.798204328791469	0.000647995885857998	0.00333890549667274
Solyc01g079200	5.35299580363622	1.95199745030553	3.83100100312326e-20	1.70126818203915e-18
Solyc01g079390	-2.90983725395649	5.69367374760214	1.45697201914675e-42	3.28547190317591e-40
Solyc01g079460	-2.38748616174724	1.47478883745199	0.0021244308507893	0.00964967219718465
Solyc01g079470	3.38411425842769	0.336282105485666	0.000385884234310152	0.002090554554527
Solyc01g079530	3.93854350061584	3.8439280919505	1.30430147216091e-28	1.19510493994016e-26
Solyc01g079660	4.69363486628662	3.84287137450406	4.4805391106565e-33	5.87153515833088e-31
Solyc01g079670	4.81013662297008	2.30234782208781	4.53990573069262e-20	1.99566210518687e-18
Solyc01g079750	-3.4001128726305	0.732148426138033	2.78739753480819e-07	2.72823997156945e-06
Solyc01g079790	2.72257769501657	-0.0808529774532499	0.00130355588552046	0.00625775300476486
Solyc01g079800	-2.17719651807764	1.84518526874937	3.79901957782624e-07	3.6360271351479e-06
Solyc01g079810	2.02019914903431	5.17378425949765	5.38380455991107e-22	2.8419082177697e-20
Solyc01g079860	-2.03438584391716	4.88797361736022	9.20301518535131e-22	4.79869532044587e-20
Solyc01g079960	-2.96163529676836	0.114102471672777	0.000849823883898775	0.00425877262386412
Solyc01g080410	-4.71430011466141	8.20848243365289	7.06137284045897e-66	7.91033208485867e-63
Solyc01g080480	3.44550927248864	0.372974645374521	0.000125187645474596	0.000755936596139158
Solyc01g080570	-2.91234877957804	0.980993860112932	4.00249251623728e-05	0.000266732983326371
Solyc01g080700	-2.50037648619464	0.979580559394571	5.80949503119848e-06	4.51940712250066e-05
Solyc01g080750	-5.4013092266653	-0.414610306439782	0.0022815732052533	0.0102818832985766
Solyc01g080870	-2.66383926666621	4.10625577800193	7.05799425059282e-17	2.38427010058693e-15
Solyc01g080910	-2.52358010044225	5.80663947871444	1.77343305380899e-19	7.42000116381021e-18
Solyc01g081270	-2.53110076973007	3.06667963291944	9.51322334395649e-11	1.55686007099706e-09
Solyc01g081450	2.01093645551058	7.79668522898497	6.23803102968156e-29	5.91880064392764e-27
Solyc01g081540	2.12710841079276	7.78848147404404	1.5023429455038e-32	1.88346077503648e-30
Solyc01g081570	-2.2320662939662	2.12872659327997	3.87583171515507e-07	3.7007425892821e-06
Solyc01g086660	4.39746679534366	5.05460407568444	3.91173824550285e-24	2.5249615994717e-22
Solyc01g086670	4.49234460885213	2.39453270679017	8.45722417051247e-21	3.99040793164927e-19
Solyc01g086680	2.87538349948046	3.85770951261663	3.14369923983678e-09	4.14784359809315e-08
Solyc01g086730	2.40121697396366	1.77419125033463	2.51728095000662e-07	2.48416071471668e-06
Solyc01g086800	2.43237690367127	2.05123804572718	4.99590661423367e-07	4.69788380699953e-06
Solyc01g087500	-4.12453282255067	0.010276819488164	0.000332858270954526	0.00183072049024989
Solyc01g087590	2.48762703570188	0.614373043839008	0.000152424976550188	0.000903287058132826
